case,base_case,sampling,source,n_points,n_frames,family,gap_mm,seed,bias_rms_mm,variant,outer_iterations,sinkhorn_iterations,stage,sigma_mm,ok,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,method_seconds,transport_seconds,local_filter_seconds,input_edit_rms_mm,input_edit_p95_mm,moved_fraction,estimated_bias_rms_mm,estimated_bias_max_mm,effective_transport_mass,usable_transport_mass,supported_scan_fraction,component_changes,largest_observed_bias_increment_mm,updates_at_nominal_1p6mm_increment,balanced_or_relaxed_row_l1_mean,balanced_or_relaxed_row_l1_max,balanced_or_relaxed_column_l1_max,output,output_sha256,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note
ghost_s912101_b4,ghost_s912101_b4,full,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/ghost_s912101_b4.json,768,8,ghost_monolayer,0.0,912101,4.0,balanced,3,24,raw,1.0,True,True,True,1.0225153353041545,1.2872658534588977,2.503294660648396,0.6028645833333334,0.9388020833333334,0.9091204475775623,1.0,1.2872847736399884,1.0225153353041545,1.286569558964205,,self-report; not geometry-derived layer count or success,1.2865884893847919,0.042333762269789826,0.17884730699372217,0.17884730699372217,0.3255843380029546,0.3255843380029546,0.03657915299118031,3.2349577133267737,4.8,1.0,3.234957713326774,4.8,1.0,0.999999999998236,1.0,0,1.6,3,0.005826481137285695,0.015693998442333566,5.937091096530622e-16,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/transport-budget-v3-mxi1kprj/outputs/ghost_s912101_b4__balanced_o3__raw.npz,8f29d3aaba9ccf2f58c8a7ef3c1a2e8dba7c7ec8dc354b4345779dad863ca9ec,,,,,,
ghost_s912101_b4,ghost_s912101_b4,full,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/ghost_s912101_b4.json,768,8,ghost_monolayer,0.0,912101,4.0,balanced,3,24,local,1.0,True,True,True,0.22412042209727692,0.4126355088685023,0.497271296148619,0.97265625,0.99609375,0.21252820392500874,1.0,0.4128396766227933,0.22412042209727692,0.409876687531761,,self-report; not geometry-derived layer count or success,0.4100822271722201,0.04763575916771179,0.1788301436162433,0.17883014361624333,0.3621634909941349,0.3255843380029546,0.03657915299118031,4.060384152925085,6.58790651572404,1.0,3.234957713326774,4.8,1.0,0.999999999998236,1.0,0,1.6,3,0.005826481137285695,0.015693998442333566,5.937091096530622e-16,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/transport-budget-v3-mxi1kprj/outputs/ghost_s912101_b4__balanced_o3__local.npz,adb356ebb67a3b3646750c0eef34e124cfa7a039eccdfd7abf4b418a93ae2a64,,,,,,
ghost_s912101_b4,ghost_s912101_b4,full,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/ghost_s912101_b4.json,768,8,ghost_monolayer,0.0,912101,4.0,balanced,6,24,raw,1.0,True,True,True,0.8300092979406196,1.0484046851011501,2.1480012264142445,0.7096354166666666,0.97265625,0.7597214588540272,1.0,1.0484364689501537,0.8300092979406196,1.0475496342962114,,self-report; not geometry-derived layer count or success,1.047581444087643,0.04233376226978994,0.09694181470446166,0.09694181470446164,0.6484563329868251,0.6484563329868251,0.03628735599340871,3.7839139863559765,5.600887157214205,1.0,3.783913986355976,5.600887157214205,1.0,1.0,1.0,0,1.6,3,0.005595972554325698,0.015982690770419045,4.874572967494828e-16,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/transport-budget-v3-mxi1kprj/outputs/ghost_s912101_b4__balanced_o6__raw.npz,a95e35c2dfd3eab775a502dd48d724340e3cb41d760a81ee56e1c276398884b6,,,,,,
ghost_s912101_b4,ghost_s912101_b4,full,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/ghost_s912101_b4.json,768,8,ghost_monolayer,0.0,912101,4.0,balanced,6,24,local,1.0,True,True,True,0.16555709142388778,0.20910127964085054,0.41551400443829806,1.0,1.0,0.16650449719988736,1.0,0.20942792945789662,0.16555709142388778,0.2048467754603618,,self-report; not geometry-derived layer count or success,0.20518019860496248,0.04196598309881321,0.09885244881654366,0.09885244881654366,0.6847436889802339,0.6484563329868251,0.03628735599340871,4.137373377736546,6.614470036718874,1.0,3.783913986355976,5.600887157214205,1.0,1.0,1.0,0,1.6,3,0.005595972554325698,0.015982690770419045,4.874572967494828e-16,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/transport-budget-v3-mxi1kprj/outputs/ghost_s912101_b4__balanced_o6__local.npz,300e48b536d970259169efed1c07e54fef83d711cf6993a37f1f73d2c7f37b9f,,,,,,
ghost_s912101_b4,ghost_s912101_b4,full,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/ghost_s912101_b4.json,768,8,ghost_monolayer,0.0,912101,4.0,balanced,12,24,raw,1.0,True,True,True,0.8291804023621688,1.0472725106491576,2.150013418920677,0.7096354166666666,0.97265625,0.7591963686026236,1.0,1.0473044147661894,0.8291804023621688,1.046416534719074,,self-report; not geometry-derived layer count or success,1.0464484649330972,0.04233376226978965,0.0961810366246358,0.09618103662463581,1.311389167996822,1.311389167996822,0.03654036499210633,3.789018866266746,5.6081913050159224,1.0,3.789018866266746,5.6081913050159224,1.0,1.0,1.0,0,1.6,3,0.0055918851871603606,0.015987780068085454,4.497270611469872e-16,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/transport-budget-v3-mxi1kprj/outputs/ghost_s912101_b4__balanced_o12__raw.npz,0fa5c14a4064505f01d51c1d4b110cdb2536aca4cab592b7d729a901c4264ac8,,,,,,
ghost_s912101_b4,ghost_s912101_b4,full,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/ghost_s912101_b4.json,768,8,ghost_monolayer,0.0,912101,4.0,balanced,12,24,local,1.0,True,True,True,0.16543061249981342,0.20901678371089916,0.41503687680582824,1.0,1.0,0.16638362378763272,1.0,0.2093427901076549,0.16543061249981342,0.20475924542758042,,self-report; not geometry-derived layer count or success,0.20509201953997025,0.041972220468711324,0.09809300831645316,0.09809300831645316,1.3479295329889283,1.311389167996822,0.03654036499210633,4.137481072429657,6.614569490037996,1.0,3.789018866266746,5.6081913050159224,1.0,1.0,1.0,0,1.6,3,0.0055918851871603606,0.015987780068085454,4.497270611469872e-16,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/transport-budget-v3-mxi1kprj/outputs/ghost_s912101_b4__balanced_o12__local.npz,63775563e648674bf185bfe43e5f00b54574fd4629fd4983607ebcf872479608,,,,,,
ghost_s912101_b4,ghost_s912101_b4,full,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/ghost_s912101_b4.json,768,8,ghost_monolayer,0.0,912101,4.0,unbalanced,3,24,raw,1.0,True,True,True,1.1414115946464045,1.4235796384183521,2.786858918856985,0.5325520833333334,0.9049479166666666,1.0045893370561574,1.0,1.4235946210205315,1.1414115946464045,1.4229500481364097,,self-report; not geometry-derived layer count or success,1.4229650373676352,0.04233376226978986,0.20953853831653838,0.2095385383165384,0.3238077069981955,0.3238077069981955,0.03641702998720575,3.0273030179728653,4.507278866041681,1.0,3.027303017972865,4.507278866041681,0.5671403460816047,0.567140346081603,1.0,0,1.6,2,0.43326927667532794,0.694289731992927,0.6919392822692279,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/transport-budget-v3-mxi1kprj/outputs/ghost_s912101_b4__unbalanced_o3__raw.npz,c7cac7f87a20084bd0a6b024af2884e8bd8f7205597fbfb84fe3fa64e69d8092,,,,,,
ghost_s912101_b4,ghost_s912101_b4,full,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/ghost_s912101_b4.json,768,8,ghost_monolayer,0.0,912101,4.0,unbalanced,3,24,local,1.0,True,True,True,0.5895367253699144,0.7807421142894704,1.4521382503701914,0.8046875,0.9908854166666666,0.5637950626194929,1.0,0.7808227681183965,0.5895367253699144,0.7790053749631048,,self-report; not geometry-derived layer count or success,0.7790862056685414,0.05204689567179222,0.20282959916112042,0.20282959916112042,0.36022473698540125,0.3238077069981955,0.03641702998720575,3.6809124181674027,5.991920435684208,1.0,3.027303017972865,4.507278866041681,0.5671403460816047,0.567140346081603,1.0,0,1.6,2,0.43326927667532794,0.694289731992927,0.6919392822692279,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/transport-budget-v3-mxi1kprj/outputs/ghost_s912101_b4__unbalanced_o3__local.npz,2d2e53ca251963d97b6ed98f79a4d7a4c7d2e737a1708bb07badcf50088dceff,,,,,,
ghost_s912101_b4,ghost_s912101_b4,full,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/ghost_s912101_b4.json,768,8,ghost_monolayer,0.0,912101,4.0,unbalanced,6,24,raw,1.0,True,True,True,0.85471109292947,1.0811255923629548,2.136491473406662,0.6927083333333334,0.9674479166666666,0.7771255035273136,1.0,1.0811545249032262,0.85471109292947,1.0802964403506266,,self-report; not geometry-derived layer count or success,1.0803253950966836,0.04233376226978943,0.1154827842250193,0.1154827842250193,0.6480437510035699,0.6480437510035699,0.036875081990729086,3.6661016797329165,5.434569491682609,1.0,3.666101679732917,5.434569491682609,0.6506685093965457,0.6506685093965457,1.0,0,1.6,2,0.3493314906034542,0.3698221240963412,0.3698221240963413,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/transport-budget-v3-mxi1kprj/outputs/ghost_s912101_b4__unbalanced_o6__raw.npz,614321344b355d6ba8847cc007c1d677034606c91e36a8b8b841b10e24ff48d0,,,,,,
ghost_s912101_b4,ghost_s912101_b4,full,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/ghost_s912101_b4.json,768,8,ghost_monolayer,0.0,912101,4.0,unbalanced,6,24,local,1.0,True,True,True,0.16878586568303963,0.21159040679285715,0.4239284337419649,1.0,1.0,0.16970262655836765,1.0,0.21193196607687104,0.16878586568303963,0.20745450499137624,,self-report; not geometry-derived layer count or success,0.20780286238609666,0.04163086150145085,0.11730723610621459,0.11730723610621459,0.684918832994299,0.6480437510035699,0.036875081990729086,4.13495904917042,6.614686728881952,1.0,3.666101679732917,5.434569491682609,0.6506685093965457,0.6506685093965457,1.0,0,1.6,2,0.3493314906034542,0.3698221240963412,0.3698221240963413,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/transport-budget-v3-mxi1kprj/outputs/ghost_s912101_b4__unbalanced_o6__local.npz,81743c2b9896d04ec114f1947ebefc5ae17904e5a48ab298b101b24ad9cd225b,,,,,,
