case,base_case,source,method,stage,sampling,family,gap_mm,bias_rms_mm,seed,n_points,n_frames,sigma_mm,ok,method_seconds,identifiable,geometry_scored,geometry_note,reported_model_k,model_k_note,input_edit_rms_mm,input_edit_p95_mm,moved_fraction,output,output_sha256,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note,rigid_equivariance_rms_mm
ambig_g8_s912101,ambig_g8_s912101,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,identity,development,full,ambiguous_two_explanations,8.0,0.0,912101,768,8,1.0,True,7.32101034373045e-06,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,0.0,0.0,0.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-development-vdbkdouk/outputs/ambig_g8_s912101__identity.npz,56e115beec8504c6499a2763c20066f79617bf508bbd833e00d22594bba8b4c9,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912101,ambig_g8_s912101,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,fast,development,full,ambiguous_two_explanations,8.0,0.0,912101,768,8,1.0,True,0.009463242997298948,False,False,scalar ambiguity control; not scored as a unique physical world,1,self-report; not geometry-derived layer count or success,4.092313713574647,5.9149523331983165,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-development-vdbkdouk/outputs/ambig_g8_s912101__fast.npz,9e34bc9d76905c74f1bbdc2474ff81b12f68d7d30e0227c5162ccdb3e52887dc,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912101,ambig_g8_s912101,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,open3d_icp_then_xyz,development,full,ambiguous_two_explanations,8.0,0.0,912101,768,8,1.0,True,0.02557407099811826,False,False,scalar ambiguity control; not scored as a unique physical world,2,self-report; not geometry-derived layer count or success,5.225120163477053,8.256691900985226,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-development-vdbkdouk/outputs/ambig_g8_s912101__open3d_icp_then_xyz.npz,5022d39954ebe33f9962af9debb4d2f0c23be02b2e3841f8dcd721a7e924b659,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912101,ambig_g8_s912101,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,graph_shared,development,full,ambiguous_two_explanations,8.0,0.0,912101,768,8,1.0,True,0.07530412900086958,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,4.117101214344508,5.726762402152343,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-development-vdbkdouk/outputs/ambig_g8_s912101__graph_shared.npz,101d2c46b93d0750192fb5dcc04372e694d25974d2a55ceb1b558b2da8bd20ee,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912101,ambig_g8_s912101,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,pool_independent,development,full,ambiguous_two_explanations,8.0,0.0,912101,768,8,1.0,True,0.09767941699828953,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,4.116981921693184,5.7229463891687455,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-development-vdbkdouk/outputs/ambig_g8_s912101__pool_independent.npz,ed5136eae295d5dc2510e668ba550fc15f3c80482820787a08e39af775e835c7,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912101,ambig_g8_s912101,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,pool_compatible,development,full,ambiguous_two_explanations,8.0,0.0,912101,768,8,1.0,True,0.12472610900294967,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,4.126351403873351,5.779254926909013,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-development-vdbkdouk/outputs/ambig_g8_s912101__pool_compatible.npz,356a893f7470ad9300cf951e44e3e53c2dc989906caeee803671d62baa0d9377,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912101,ambig_g8_s912101,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,shared_group_slope,development,full,ambiguous_two_explanations,8.0,0.0,912101,768,8,1.0,True,0.12318444199627265,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,4.126351403873351,5.779254926909013,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-development-vdbkdouk/outputs/ambig_g8_s912101__shared_group_slope.npz,818db80fe06e2388c0871558aa1f4348b07cd447241d9690c068f9d2ef1603f0,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912101,ambig_g8_s912101,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,node_intercepts,development,full,ambiguous_two_explanations,8.0,0.0,912101,768,8,1.0,True,0.12311228200269397,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,4.126562598312851,5.820600380000404,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-development-vdbkdouk/outputs/ambig_g8_s912101__node_intercepts.npz,46dbd519e23980a5dbb7f0088d1a75fa2ab66fea59cdcc487bf0ef98a35e5c6c,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912101,ambig_g8_s912101,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,official_gicp,development,full,ambiguous_two_explanations,8.0,0.0,912101,768,8,1.0,True,0.023462525990908034,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,20.38276725284989,36.318062362858214,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-development-vdbkdouk/outputs/ambig_g8_s912101__official_gicp.npz,408c27465ac603cbb1b5078949b1c4ed45465c85138d46165966ba122a80fadd,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912113,ambig_g8_s912113,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912113.json,identity,development,full,ambiguous_two_explanations,8.0,0.0,912113,768,8,1.0,True,1.5416007954627275e-05,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,0.0,0.0,0.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-development-vdbkdouk/outputs/ambig_g8_s912113__identity.npz,2110a1c2b057a56b096902b54e934f0adcaabc5f73a94d661bb0008afb93ed65,,,,,,,,,,,,,,,,,,,,,
