case,budget,method,gap_mm,seed,n_points,supported_fraction,group_count,input_edit_rms_mm,output,output_sha256,stage,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note
dual_g2_s912101_b0,1,soft_M_map_b1,2.0,912101,768,1.0,3,0.7807331144847679,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912101_b0__soft_M_map_b1.npz,5804f1d4a657021f5e0ebb51793de63919fe53e4850b80e0ca5bb1d0fd96a0cc,exposed development post-decision ablation,True,True,0.29930680678333693,0.44284491292774786,1.0330129882950845,0.9114583333333334,0.9986979166666666,0.35558179994142397,1.0,0.5878186002495543,0.3739280922934681,0.5724811465765028,1.7362829926302055,0.26371700736979453,0.8681414963151027,,self-report; not geometry-derived layer count or success,0.5867190779186083,0.03593647736886967,0.569077311501639,0.5873340172217869,1.1800231791556643,0.8199768208443357,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,3,soft_M_map_b3,2.0,912101,768,1.0,3,0.760456271334523,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912101_b0__soft_M_map_b3.npz,6b23c6310645f5ea44d21fe894062253cc46b3801ea991fffb0fc65d1303d33d,exposed development post-decision ablation,True,True,0.3932443668217925,0.48584637870425734,0.8913075653161522,0.9309895833333334,0.9986979166666666,0.42709472737180637,1.0,0.5635591638176071,0.43395943725132335,0.5472739236267636,1.7410815754668623,0.25891842453313774,0.8705407877334311,,self-report; not geometry-derived layer count or success,0.5616194719760039,0.046717232582795226,0.5050958724279802,0.8375637978975693,1.0980116060930518,0.9019883939069482,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,6,soft_M_map_b6,2.0,912101,768,1.0,3,0.7717760404185147,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912101_b0__soft_M_map_b6.npz,710b1b3bbc00631fbc52f907198b3783d4eebbb1c225177fca812c65d5cb5e24,exposed development post-decision ablation,True,True,0.42548392171035276,0.5114855142557474,0.8926950960421576,0.9700520833333334,0.9986979166666666,0.43906130311830477,1.0,0.5425023365748006,0.44176902596334305,0.5254865175980805,1.7664574837161868,0.23354251628381317,0.8832287418580934,,self-report; not geometry-derived layer count or success,0.5376821220257445,0.07215761112322606,0.4895064230271489,0.9743047587384678,1.0731088912176054,0.9268911087823946,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b4,1,soft_M_map_b1,2.0,912101,768,1.0,3,4.08375354056108,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912101_b4__soft_M_map_b1.npz,3330141451acbd823954721cef606b55544be0d6445a28047534248499bb672c,exposed development post-decision ablation,True,True,0.29926243897684496,0.4428954147681536,1.034133567264758,0.9114583333333334,0.9986979166666666,0.3666918417425977,1.0,0.5903418804195214,0.37381600570652607,0.5724006802471597,1.7361498028144347,0.26385019718556535,0.8680749014072173,,self-report; not geometry-derived layer count or success,0.5892539607246104,0.03582325428567061,0.5688898716402525,0.5874682679115856,1.1803061625427547,0.8196938374572453,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b4,3,soft_M_map_b3,2.0,912101,768,1.0,3,4.079322509423296,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912101_b4__soft_M_map_b3.npz,b8e49bc63a5b57acd8e66c0d02134d60fb86c22bd39e76a97f66a0f3a88f6c15,exposed development post-decision ablation,True,True,0.3933019993335672,0.48594878283788334,0.891334775954979,0.9296875,0.9986979166666666,0.4345600819860988,1.0,0.5663150949941382,0.43399515230780955,0.5473274521464433,1.7410575650106175,0.2589424349893825,0.8705287825053087,,self-report; not geometry-derived layer count or success,0.5643877550687137,0.04668242438774498,0.5047235909187885,0.8363749860876929,1.0987122553804496,0.9012877446195504,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b4,6,soft_M_map_b6,2.0,912101,768,1.0,3,4.084552448643273,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912101_b4__soft_M_map_b6.npz,46650b278edbde6de0e24dda9d4e96c40c585592f1d173f3246c06578103eaeb,exposed development post-decision ablation,True,True,0.42649498026810156,0.512449401784318,0.8930398549183178,0.9700520833333334,0.9986979166666666,0.4466232195017455,1.0,0.5461956700397829,0.44276650042874244,0.5263730487370719,1.7649717233705644,0.2350282766294356,0.8824858616852822,,self-report; not geometry-derived layer count or success,0.541533972952179,0.07120860979429357,0.4892908797586955,0.9730532310544765,1.0720541442155453,0.9279458557844547,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b0,1,soft_M_map_b1,2.0,912113,768,1.0,3,0.7931334970789669,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912113_b0__soft_M_map_b1.npz,7379c5a838695c4b657fab110ca4a71eb2b2edd96c334ec239c7b01bde848035,exposed development post-decision ablation,True,True,0.39951371272091346,0.5191974325442539,1.151800927901257,0.9010416666666666,1.0,0.4229208057135693,1.0,0.5928170111245314,0.44035524024284306,0.5846665548969542,1.7997974201022877,0.20020257989771229,0.8998987100511439,,self-report; not geometry-derived layer count or success,0.5927188194854496,0.010789332991340514,0.7862757548167867,1.1593289309434047,0.8517318197446195,1.1482681802553805,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b0,3,soft_M_map_b3,2.0,912113,768,1.0,3,0.829787075857038,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912113_b0__soft_M_map_b3.npz,4e521802042d19ea77b24d562f46d37ec86fcb1e4054575e849b101061e646ed,exposed development post-decision ablation,True,True,0.4199034479032884,0.5138227438476674,0.9612007106533814,0.9309895833333334,1.0,0.4297479217331362,1.0,0.5438777501142036,0.43573614749317996,0.529762370893246,1.7464066606118098,0.2535933393881902,0.8732033303059049,,self-report; not geometry-derived layer count or success,0.5438769940848597,0.0009068486674050826,0.7262726553787667,1.356583067285025,0.759366296042105,1.240633703957895,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b0,6,soft_M_map_b6,2.0,912113,768,1.0,3,0.8679904934276764,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912113_b0__soft_M_map_b6.npz,0d8b5a59a62cc85dcc5248e02495969121034aec0192f421efd6ff51df363c83,exposed development post-decision ablation,True,True,0.4108434073858573,0.4926547541727797,0.8927023864767625,0.9622395833333334,1.0,0.4161862068339808,1.0,0.5090855823197198,0.41900539038164003,0.4956164928997023,1.7613202426151124,0.23867975738488756,0.8806601213075562,,self-report; not geometry-derived layer count or success,0.5090043904015364,0.009091791779872793,0.7293415078590896,1.5051087389459163,0.7177864381617454,1.2822135618382546,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b4,1,soft_M_map_b1,2.0,912113,768,1.0,3,4.053533379983588,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912113_b4__soft_M_map_b1.npz,86afa7ddfb636ce43086c8d6cbd3fd8c8f9d4dfdc919d46df034087d65ac859f,exposed development post-decision ablation,True,True,0.3897135967001491,0.508093832627577,1.0956547209540821,0.9075520833333334,1.0,0.4236349231750049,1.0,0.5917086952831103,0.43414151952531954,0.5813997400703614,1.8034943818469322,0.19650561815306777,0.9017471909234661,,self-report; not geometry-derived layer count or success,0.5916118697909267,0.01070399907157576,0.7639263475521126,1.1175873172453914,0.8894638575822402,1.1105361424177598,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
