split,case,method,sigma_mm,family,gap_mm,bias_rms_mm,seed,execution,ok,source_output,source_output_sha256,identifiable,geometry_scored,geometry_note,reported_model_k,model_k_note,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,patch_id,scene,perturbation,adapter_mode,error,actual_point_delta_rms_mm,independent_real_geometry,recovery_vs_measured_reference_rms_mm,zero_injection_edit_rms_mm,response_vs_own_baseline_rms_mm,interaction_mm2,decomposition_error_mm2,method_seconds
synthetic,ambig_g8_s912101,identity,1.0,ambiguous_two_explanations,8.0,0.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/ambig_g8_s912101__sig1.0__identity.npz,e5374a092e1cc0c1a64665c9ce8df42a0b7cf54b29f10eae1fc6a5d00cfb4c82,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic,ambig_g8_s912101,xyz_mixture,1.0,ambiguous_two_explanations,8.0,0.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/ambig_g8_s912101__sig1.0__xyz_mixture.npz,e00490970dcd16148e8529a1001c5d277b1055cb72046b1768c0cef2481bb0b8,False,False,scalar ambiguity control; not scored as a unique physical world,2,self-report; not geometry-derived layer count or success,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic,ambig_g8_s912101,fast,1.0,ambiguous_two_explanations,8.0,0.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/ambig_g8_s912101__sig1.0__fast.npz,aa18611868dfe3e12440156f435e82f1df5362b5e2bb954be3def7cbc1107a15,False,False,scalar ambiguity control; not scored as a unique physical world,1,self-report; not geometry-derived layer count or success,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic,ambig_g8_s912101,open3d_icp_then_xyz,1.0,ambiguous_two_explanations,8.0,0.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/ambig_g8_s912101__sig1.0__open3d_icp_then_xyz.npz,b62fd360cb16a4a27bc164bd8fcf73fdfd60e62b1a0dfbe5b28a0cec0ec22835,False,False,scalar ambiguity control; not scored as a unique physical world,2,self-report; not geometry-derived layer count or success,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic,ambig_g8_s912113,identity,1.0,ambiguous_two_explanations,8.0,0.0,912113,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/ambig_g8_s912113__sig1.0__identity.npz,2ba1fbe3c2c0ce63ef8066368f28d5c612d1896ae5374f3dec191fdc7a324a88,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic,ambig_g8_s912113,xyz_mixture,1.0,ambiguous_two_explanations,8.0,0.0,912113,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/ambig_g8_s912113__sig1.0__xyz_mixture.npz,06491a978e42f5aecec31c6fd4a628f81d2a83a6add2d12dd7ee2233758e9c97,False,False,scalar ambiguity control; not scored as a unique physical world,2,self-report; not geometry-derived layer count or success,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic,ambig_g8_s912113,fast,1.0,ambiguous_two_explanations,8.0,0.0,912113,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/ambig_g8_s912113__sig1.0__fast.npz,5ac83ddfa9f803345676bae8f51a4db66e1030ec195a504245be6de838cd14db,False,False,scalar ambiguity control; not scored as a unique physical world,1,self-report; not geometry-derived layer count or success,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic,ambig_g8_s912113,open3d_icp_then_xyz,1.0,ambiguous_two_explanations,8.0,0.0,912113,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/ambig_g8_s912113__sig1.0__open3d_icp_then_xyz.npz,7d00fa45f6b7bdd546de25c9d1fc2a2da771e1a9c6a7cd01f9bab26e1fcc6975,False,False,scalar ambiguity control; not scored as a unique physical world,1,self-report; not geometry-derived layer count or success,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic,ambig_g8_s912127,identity,1.0,ambiguous_two_explanations,8.0,0.0,912127,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/ambig_g8_s912127__sig1.0__identity.npz,c7eb8961adb63d1805b7a1badac36154767b894484c98a1bddfe39e8ba3ba4a0,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic,ambig_g8_s912127,xyz_mixture,1.0,ambiguous_two_explanations,8.0,0.0,912127,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/ambig_g8_s912127__sig1.0__xyz_mixture.npz,b23751a9c62e987679a1d3217fd0eac160da8989f98665fc416033144e4ec6ca,False,False,scalar ambiguity control; not scored as a unique physical world,2,self-report; not geometry-derived layer count or success,,,,,,,,,,,,,,,,,,,,,,,,,,
