case,method,variant,iterations,output,output_sha256,gap_mm,seed,bias_rms_mm,chosen_k,true_k,model_gap_mm,model_gap_error_mm,spectrum_gap_mm,seconds,supported_fraction,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note
dual_g2_s912101_b0,pooled_em_i12,pooled_em,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-4bn33_0y/outputs/dual_g2_s912101_b0__pooled_em_i12.npz,1b253d852f30c268ab34a2a723c968f369d3eb7d041bd4fd3f4aa749eff36244,2.0,912101,0.0,1,2,0.0,2.0,,0.016865358003997244,1.0,True,True,0.46857686457770004,0.5487740345656352,0.9469920663900537,0.98046875,1.0,0.46995968954193407,1.0,0.5503877741620977,0.4693370069867541,0.43951535814688625,1.3239342346068703,0.6760657653931297,0.6619671173034352,,self-report; not geometry-derived layer count or success,0.5487572819737276,0.04233376226979014,1.313526705798993,1.313526705798995,4.440892098500626e-16,1.9999999999999996,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,spectrum_fixed_i12,spectrum_fixed,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-4bn33_0y/outputs/dual_g2_s912101_b0__spectrum_fixed_i12.npz,03669116ba2d412ebbd877902c5f96c02c36b80a1f2cf61e4bd5fd25b86cbf0a,2.0,912101,0.0,2,2,1.82190635451505,0.17809364548495,1.8219063545150502,0.015126407000934705,1.0,True,True,0.5835555678973713,0.7270715283441024,1.4585029438961135,0.7473958333333334,1.0,0.6479446187070267,1.0,0.8418275436448847,0.6735245824766768,0.8309392585883684,1.7271215294953568,0.2728784705046432,0.8635607647476784,,self-report; not geometry-derived layer count or success,0.8414892449445636,0.023863442371298876,0.37446517829944176,0.5428266316861936,1.4789457690453023,0.5210542309546977,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,pooled_em_i36,pooled_em,36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-4bn33_0y/outputs/dual_g2_s912101_b0__pooled_em_i36.npz,1b253d852f30c268ab34a2a723c968f369d3eb7d041bd4fd3f4aa749eff36244,2.0,912101,0.0,1,2,0.0,2.0,,0.04636026699154172,1.0,True,True,0.46857686457770004,0.5487740345656352,0.9469920663900537,0.98046875,1.0,0.46995968954193407,1.0,0.5503877741620977,0.4693370069867541,0.43951535814688625,1.3239342346068703,0.6760657653931297,0.6619671173034352,,self-report; not geometry-derived layer count or success,0.5487572819737276,0.04233376226979014,1.313526705798993,1.313526705798995,4.440892098500626e-16,1.9999999999999996,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,spectrum_fixed_i36,spectrum_fixed,36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-4bn33_0y/outputs/dual_g2_s912101_b0__spectrum_fixed_i36.npz,6e9f0236f3778bf83b75e2538906cbb5864b2d73c8f0fc9e7173a40cdeed41b6,2.0,912101,0.0,2,2,1.8219063545150502,0.17809364548494977,1.8219063545150502,0.038798532012151554,1.0,True,True,0.4901421029840715,0.6297785294340154,1.0331447498223485,0.8528645833333334,0.9986979166666666,0.5166368496327222,1.0,0.6875453161256097,0.5281071251256674,0.6355126547508564,1.4838362021526332,0.5161637978473668,0.7419181010763166,,self-report; not geometry-derived layer count or success,0.6832453530531275,0.0767746654670118,1.0117281289532958,1.1227685032134644,0.4176717752234944,1.5823282247765056,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b4,pooled_em_i12,pooled_em,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-4bn33_0y/outputs/dual_g2_s912101_b4__pooled_em_i12.npz,ffc4c9a7dd3ed8ed2fe304a8b87f6def9853b81d2160f0e8475e16eb5c2c56e8,2.0,912101,4.0,1,2,0.0,2.0,,0.016690717995516025,1.0,True,True,0.4685917669657716,0.5487975902768808,0.9461969117278769,0.9778645833333334,1.0,0.47656843749319244,1.0,0.5531809687757542,0.46935607376531774,0.43955471578040717,1.3239355378655155,0.6760644621344845,0.6619677689327578,,self-report; not geometry-derived layer count or success,0.5515587337607545,0.04233376226978966,1.3134934158931648,1.3134934158931655,-6.661338147750939e-16,2.000000000000001,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b4,spectrum_fixed_i12,spectrum_fixed,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-4bn33_0y/outputs/dual_g2_s912101_b4__spectrum_fixed_i12.npz,5ac263349fa5b595325730bda8f1b9761b33e61541df07a3aeeba776de7d76e9,2.0,912101,4.0,2,2,1.8219063545150502,0.17809364548494977,1.8219063545150502,0.015065462997881696,1.0,True,True,0.5835981171604562,0.7271077906900119,1.4573447178719674,0.7473958333333334,1.0,0.6533910903129176,1.0,0.8436776045818133,0.6736097666108779,0.8310210033175336,1.7272279147579521,0.2727720852420479,0.8636139573789761,,self-report; not geometry-derived layer count or success,0.8433334864474652,0.024094213190501295,0.3751196996393566,0.5432957045194734,1.4780805592565316,0.5219194407434684,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b4,pooled_em_i36,pooled_em,36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-4bn33_0y/outputs/dual_g2_s912101_b4__pooled_em_i36.npz,ffc4c9a7dd3ed8ed2fe304a8b87f6def9853b81d2160f0e8475e16eb5c2c56e8,2.0,912101,4.0,1,2,0.0,2.0,,0.049209214994334616,1.0,True,True,0.4685917669657716,0.5487975902768808,0.9461969117278769,0.9778645833333334,1.0,0.47656843749319244,1.0,0.5531809687757542,0.46935607376531774,0.43955471578040717,1.3239355378655155,0.6760644621344845,0.6619677689327578,,self-report; not geometry-derived layer count or success,0.5515587337607545,0.04233376226978966,1.3134934158931648,1.3134934158931655,-6.661338147750939e-16,2.000000000000001,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b4,spectrum_fixed_i36,spectrum_fixed,36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-4bn33_0y/outputs/dual_g2_s912101_b4__spectrum_fixed_i36.npz,c1792a72da9658fb911ce6310141a8512d16f25e178aa9b7e32fcd046f96251a,2.0,912101,4.0,2,2,1.8219063545150502,0.17809364548494977,1.8219063545150502,0.03787505799846258,1.0,True,True,0.4901283697521001,0.6297680617099407,1.034002465175547,0.8515625,0.9986979166666666,0.5235356726569654,1.0,0.6898516910365149,0.5281940573078199,0.635593996670057,1.4837518076473633,0.5162481923526367,0.7418759038236816,,self-report; not geometry-derived layer count or success,0.6855193415200824,0.07719189094595276,1.0121678992645675,1.1238189766915003,0.41686157021562864,1.5831384297843714,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b0,pooled_em_i12,pooled_em,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-4bn33_0y/outputs/dual_g2_s912113_b0__pooled_em_i12.npz,e16cb3fcfcdad72f7739e6de606db8bc9c8fc56b3c9bb31a03f2563c882c01e5,2.0,912113,0.0,1,2,0.0,2.0,,0.016825109007186256,1.0,True,True,0.4338928393812871,0.5222152575411703,0.9302513678556006,0.96875,1.0,0.4394499662843878,1.0,0.5315581952339354,0.4386996944268156,0.4482799259610167,1.4107516894333654,0.5892483105666346,0.7053758447166827,,self-report; not geometry-derived layer count or success,0.5313532697431566,0.014758646740638716,1.3709699959086248,1.3709699959086252,1.1102230246251565e-15,1.999999999999999,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b0,spectrum_fixed_i12,spectrum_fixed,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-4bn33_0y/outputs/dual_g2_s912113_b0__spectrum_fixed_i12.npz,e9c0f96d4911b7ec21e4dab5e4291c11f909ffccda534eabaa1ad776af22a8c9,2.0,912113,0.0,2,2,1.8612040133779266,0.13879598662207338,1.8612040133779264,0.015083790000062436,1.0,True,True,0.6513907416060329,0.7786687029223122,1.4333867766576882,0.7109375,0.9986979166666666,0.7230598271748634,1.0,0.8968222104999135,0.7498667911613429,0.8887121257625448,1.7978792781684878,0.2021207218315122,0.8989396390842439,,self-report; not geometry-derived layer count or success,0.8941141777423101,0.06964132685513512,0.5743403107163975,0.6426975862709609,1.2684504975978221,0.7315495024021779,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
