case,base_case,split,sampling,method,sigma_mm,n_points,n_frames,source,ok,method_seconds,family,gap_mm,bias_rms_mm,seed,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note,input_edit_rms_mm,input_edit_p95_mm,moved_fraction,output
dual_g2_s912101_b4,dual_g2_s912101_b4,synthetic,full,identity,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/dual_g2_s912101_b4.json,True,2.7550006052479148e-05,true_bilayer,2.0,4.0,912101,True,True,3.511500004627115,3.9455722496963177,6.629014079834832,0.045572916666666664,0.18489583333333334,2.8723898267538943,1.0,4.145698391964449,3.7892775109664165,4.145344167506219,2.069697988781475,0.06969798878147504,1.0348489943907375,,self-report; not geometry-derived layer count or success,4.145482240911026,0.042333762269789715,0.791624518817113,1.04207795318707,1.3725385026184242,0.6274614973815758,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",0.0,0.0,0.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lfm1nwgv/outputs/dual_g2_s912101_b4__identity.npz
dual_g2_s912101_b4,dual_g2_s912101_b4,synthetic,full,xyz_mixture,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/dual_g2_s912101_b4.json,True,0.007433987004333176,true_bilayer,2.0,4.0,912101,True,True,3.457866753463332,3.52627858332901,4.5202854161642465,0.0026041666666666665,0.0078125,3.547503858927154,1.0,3.803801717826381,3.7535316451873797,3.8001854140341176,1.6843923820665911,0.31560761793340886,0.8421961910332956,2,self-report; not geometry-derived layer count or success,3.8035661369836005,0.0423337941907153,1.9033581206940895,2.0656365429763115,-0.26357744012536255,2.2635774401253625,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",1.713307035940944,3.097667926369448,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lfm1nwgv/outputs/dual_g2_s912101_b4__xyz_mixture.npz
dual_g2_s912101_b4,dual_g2_s912101_b4,synthetic,full,fast,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/dual_g2_s912101_b4.json,True,0.008649358002003282,true_bilayer,2.0,4.0,912101,True,True,0.4772513813647345,0.5591136638281314,0.9349073690450318,0.95703125,1.0,0.503494778693355,1.0,0.5780132310712088,0.4814042119767965,0.5290765019725698,1.5921434356176625,0.4078565643823375,0.7960717178088312,1,self-report; not geometry-derived layer count or success,0.5764608814702552,0.04233376226979039,1.5806551643173066,1.580655164317307,-2.220446049250313e-16,2.0,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",4.162839150234674,6.801377823666813,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lfm1nwgv/outputs/dual_g2_s912101_b4__fast.npz
dual_g2_s912101_b4,dual_g2_s912101_b4,synthetic,full,open3d_icp_then_xyz,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/dual_g2_s912101_b4.json,True,0.025800720002735034,true_bilayer,2.0,4.0,912101,True,True,0.41601482670604156,0.5331456485244452,0.9411094740320528,0.2682291666666667,0.7200520833333334,1.5958021794842312,1.0,3.145438547421155,0.4102538230012609,0.47259089692430556,1.6098435778106057,0.3901564221893943,0.8049217889053029,2,self-report; not geometry-derived layer count or success,3.145165792014742,0.04142217212064066,0.9583413834492585,1.061066430189029,0.7205048977682862,1.2794951022317138,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",5.1295622524020885,7.169744854560215,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lfm1nwgv/outputs/dual_g2_s912101_b4__open3d_icp_then_xyz.npz
dual_g2_s912101_b4,dual_g2_s912101_b4,synthetic,full,graph_local,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/dual_g2_s912101_b4.json,True,0.028313343005720526,true_bilayer,2.0,4.0,912101,True,True,3.4844884015209305,3.6063737452351075,4.542226625870363,0.006510416666666667,0.010416666666666666,3.6354951253879264,1.0,3.8389641584177774,3.7883693382356314,3.8383268169308247,1.879351971021104,0.12064802897889604,0.939675985510552,,self-report; not geometry-derived layer count or success,3.8388371089900453,0.0312323591370016,1.034292939130368,1.561910311966665,0.6898631618688855,1.3101368381311145,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",1.6030087255499117,3.0556498331002633,0.9921875,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lfm1nwgv/outputs/dual_g2_s912101_b4__graph_local.npz
dual_g2_s912101_b4,dual_g2_s912101_b4,synthetic,full,graph_shared,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/dual_g2_s912101_b4.json,True,0.15020663099130616,true_bilayer,2.0,4.0,912101,True,True,0.25198599756781065,0.3538749654121314,0.7608527214025789,0.96484375,1.0,0.26902797271440776,1.0,0.36920020719249197,0.2556763341330148,0.338720173194585,1.7361580473064762,0.26384195269352384,0.8680790236532381,,self-report; not geometry-derived layer count or success,0.36659312556404544,0.043798096764163005,0.4287516391404442,0.45469919232140127,1.321947180825216,0.6780528191747841,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",4.1420639336300065,6.675357783325823,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lfm1nwgv/outputs/dual_g2_s912101_b4__graph_shared.npz
dual_g2_s912101_b4,dual_g2_s912101_b4,synthetic,full,measure_balanced,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/dual_g2_s912101_b4.json,True,0.33387391999713145,true_bilayer,2.0,4.0,912101,True,True,0.9367107677281853,1.2022509476878693,2.4640883706276444,0.6041666666666666,0.9309895833333334,0.9202624656744001,1.0,1.2770379427781327,1.0131483705293074,1.2746663120949089,1.9725271623701457,0.027472837629854308,0.9862635811850728,,self-report; not geometry-derived layer count or success,1.2763360685442882,0.04233376226978961,0.26967863020886745,0.3538112764833252,2.094525536576814,0.09452553657681406,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",3.2535891591456396,4.8,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lfm1nwgv/outputs/dual_g2_s912101_b4__measure_balanced.npz
dual_g2_s912101_b4,dual_g2_s912101_b4,synthetic,full,measure_unbalanced,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/dual_g2_s912101_b4.json,True,0.3306998059997568,true_bilayer,2.0,4.0,912101,True,True,1.0491575643025757,1.3390559646544904,2.7125392246175,0.5221354166666666,0.9036458333333334,1.0169711775711034,1.0,1.425065340424895,1.1428665468998889,1.4231617683560356,1.9796330553428645,0.02036694465713551,0.9898165276714322,,self-report; not geometry-derived layer count or success,1.4244364068123248,0.042333762269789875,0.27585062839355534,0.31673059798080544,2.043487650973567,0.04348765097356688,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",3.0265450571577586,4.496575473163728,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lfm1nwgv/outputs/dual_g2_s912101_b4__measure_unbalanced.npz
dual_g2_s912101_b4,dual_g2_s912101_b4,synthetic,full,measure_balanced_local,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/dual_g2_s912101_b4.json,True,0.36719943799835164,true_bilayer,2.0,4.0,912101,True,True,0.35029755852079636,0.49773416012675525,1.1123361700080403,0.9127604166666666,1.0,0.37396601975650184,1.0,0.5188265193923275,0.358175077439614,0.5068011695119308,1.849782713770039,0.1502172862299609,0.9248913568850196,,self-report; not geometry-derived layer count or success,0.5172777299888026,0.04005879781506853,0.3505960901576765,0.381859520407254,1.5227287987652236,0.4772712012347764,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",3.9969977174115385,6.46043587289277,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lfm1nwgv/outputs/dual_g2_s912101_b4__measure_balanced_local.npz
dual_g2_s912101_b4,dual_g2_s912101_b4,synthetic,full,measure_unbalanced_local,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/identifiable/dual_g2_s912101_b4.json,True,0.3651704499934567,true_bilayer,2.0,4.0,912101,True,True,0.4653910361489939,0.6655657733285085,1.3852317071449276,0.8125,0.9986979166666666,0.5013731987536492,1.0,0.7168458835793344,0.4982820186034618,0.7104437463583667,1.9030062394127198,0.09699376058728015,0.9515031197063599,,self-report; not geometry-derived layer count or success,0.7153990931858224,0.045520965208788004,0.27434649681625084,0.32265627077177245,1.7323065530760233,0.2676934469239767,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",3.8060140539179863,6.360285316129635,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lfm1nwgv/outputs/dual_g2_s912101_b4__measure_unbalanced_local.npz
