case,budget,mode,method,output,output_sha256,gap_mm,seed,bias_rms_mm,supported_fraction,input_edit_rms_mm,sigma_mm,rcond,interpretation,weight_scope,output_action,low_probability_action,point_count,active_count,status,candidate_count,fit_parameter_count,fit_rows,fit_rank,numerical_nullity,effective_condition,low_probability_rows,zero_weight_rows,weighted_moment_sse_before_mm2,weighted_moment_sse_after_mm2,coefficient_delta_l2,maximum_abs_intercept_change_mm,maximum_abs_normalized_slope_change,actual_changed_fraction,seconds,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note
dual_g2_s912101_b0,1,offset,b1_offset,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912101_b0__b1_offset.npz,c4558be995b9b58b64007adba30d3aaeeeed73ce1d1c0098f2e3ac8f6d58f1bc,2.0,912101,0.0,1.0,0.8779449305208815,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,3,768,3,0,3.287100209542659,0,0,280.8307034686235,274.95283894648344,0.4675113523958954,0.3343358826193146,0.0,1.0,0.0009627780091250315,True,True,0.3207440698232345,0.40584376191762894,0.8684689573750832,0.9375,0.9986979166666666,0.3668823275369231,1.0,0.5277414699135271,0.37757170638000037,0.5103473285033079,1.7491735714278884,0.25082642857211157,0.8745867857139442,,self-report; not geometry-derived layer count or success,0.5248110579702647,0.05553748732722579,0.6244693678901584,0.759381639915565,1.069869513404697,0.9301304865953031,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,1,affine,b1_affine,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912101_b0__b1_affine.npz,f788b85ef8e17c9e50d793e2e81e4129a9ed5d4a98597e4a215f7e929fae6526,2.0,912101,0.0,1.0,0.8562824811463208,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,9,768,9,0,7.964977176803852,0,0,280.8307034686235,272.4880710932596,0.66199802420256,0.298891498477065,0.25008374794868005,1.0,0.000892230003955774,True,True,0.340423821432527,0.4322528385652216,0.8598176809173688,0.9361979166666666,0.9986979166666666,0.38095784193594806,1.0,0.5359732370982371,0.39056647846220144,0.5214179838087787,1.7683186177953287,0.23168138220467127,0.8841593088976644,,self-report; not geometry-derived layer count or success,0.5335400536970611,0.0510129590055343,0.5800071205300753,0.8305980708597608,1.0909504411983941,0.9090495588016059,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,3,offset,b3_offset,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912101_b0__b3_offset.npz,1f011e88c53a816f96960e542dbb71b9b77c73e1dbe9e9c48916b5b3650e0111,2.0,912101,0.0,1.0,0.8083418860240835,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,3,768,3,0,3.4018002144922237,0,0,276.2667130441713,275.2125621144903,0.18711763058024522,0.1381963916334517,0.0,1.0,0.0007523079984821379,True,True,0.38512836999872285,0.4762124384367278,0.8546791408239359,0.9440104166666666,0.9986979166666666,0.4136209522137089,1.0,0.5404950532981565,0.4177445283385019,0.5263964125194955,1.7685750599580725,0.23142494004192748,0.8842875299790363,,self-report; not geometry-derived layer count or success,0.5383663249460144,0.04792288392719491,0.5420026406270223,0.9979400519517602,1.035902130665089,0.9640978693349109,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,3,affine,b3_affine,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912101_b0__b3_affine.npz,ca6ad61d70b0a07c8b334249576e486127fc49d3a446bd383f6f5469cb5c37eb,2.0,912101,0.0,1.0,0.7976847349054372,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,9,768,9,0,7.101552767216516,0,0,276.2667130441713,273.6146975135431,0.3178839000389422,0.11132075405368587,0.19655216382547805,1.0,0.0008333809964824468,True,True,0.3620395692093778,0.45118313141326993,0.8684565317000152,0.9505208333333334,0.9986979166666666,0.38508424705533245,1.0,0.5105690697982922,0.3905357418853615,0.49499171880645204,1.7616165575223341,0.23838344247766585,0.8808082787611671,,self-report; not geometry-derived layer count or success,0.5084575138394336,0.046386761634279565,0.5644376159474153,0.9109587897615997,1.0515515244034763,0.9484484755965237,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,6,offset,b6_offset,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912101_b0__b6_offset.npz,a126f3dec3732e520260cd554eb3a93a3fdc1ee50951e369006d293e26387fc8,2.0,912101,0.0,1.0,0.7590031435306035,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,3,768,3,0,3.4070574602230286,0,0,277.2328183715393,276.7969834985354,0.06487593104798994,0.062364427273347435,0.0,1.0,0.0007637210073880851,True,True,0.42299627048899313,0.5107554370097618,0.9057263943044885,0.9622395833333334,0.9986979166666666,0.4400920788041252,1.0,0.5496199665437285,0.4435428125031613,0.5372161224981515,1.7855421426806537,0.2144578573193463,0.8927710713403268,,self-report; not geometry-derived layer count or success,0.5473105081795896,0.0503320500250946,0.4788503108089102,0.9223236611353299,1.1200762327769302,0.8799237672230698,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,6,affine,b6_affine,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912101_b0__b6_affine.npz,b9c50dd32e40c67b3bb7156d6b78de4d0b6c269b05b159fa721fe5e69ddbcb13,2.0,912101,0.0,1.0,0.7766799713846614,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,9,768,9,0,6.802673575558018,0,0,277.2328183715393,275.32690301276415,0.2426138918756354,0.08391295778549682,0.20143357183422822,1.0,0.0007947859994601458,True,True,0.3917177003679814,0.4777430285440835,0.8815140195801091,0.96484375,0.9986979166666666,0.40808109179829016,1.0,0.5186997498508957,0.41206258416612435,0.5034608526940078,1.7663903006386508,0.23360969936134923,0.8831951503193254,,self-report; not geometry-derived layer count or success,0.516185828554343,0.05100608684312236,0.513707230908179,0.8697413643268405,1.103972559349054,0.8960274406509461,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b4,1,offset,b1_offset,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912101_b4__b1_offset.npz,a71f6565d5f26f4f5810616623489087a5a24eb10a41dc515fcc22108523b357,2.0,912101,4.0,1.0,4.095083202441724,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,3,768,3,0,3.286834621740903,0,0,280.805639329742,274.951679814504,0.46646183094321386,0.33357769369280743,0.0,1.0,0.0007401340117212385,True,True,0.32025079682971547,0.40551224174514183,0.8683552545064385,0.9375,0.9986979166666666,0.3747081784198172,1.0,0.5304780744657459,0.377139150874138,0.5102461108268934,1.7494370662424248,0.2505629337575752,0.8747185331212124,,self-report; not geometry-derived layer count or success,0.5275752902211652,0.05541931646040743,0.6243032870513222,0.7584544145252247,1.0706113802013304,0.9293886197986696,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b4,1,affine,b1_affine,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912101_b4__b1_affine.npz,0431a67601a4318c152b32faa810287e412c04d89bb2ccd9b8725ae4a890c8e2,2.0,912101,4.0,1.0,4.086740250790468,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,9,768,9,0,7.959202082445246,0,0,280.805639329742,272.48017764793303,0.6614266654944074,0.2975923336827417,0.24992372412537106,1.0,0.0007761779997963458,True,True,0.3399815978068926,0.4319316793398553,0.8610536156544751,0.9361979166666666,0.9986979166666666,0.3886433627009656,1.0,0.5385330870730806,0.39011949493981773,0.5212036327322648,1.7687181556876448,0.2312818443123552,0.8843590778438224,,self-report; not geometry-derived layer count or success,0.5361301610558252,0.050816692914012675,0.580000535895139,0.8299601358390961,1.09155960793793,0.9084403920620701,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b4,3,offset,b3_offset,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912101_b4__b3_offset.npz,cfb266c265b8449246f78b96546db0f8679ec0fc3dd6b44f71e6f82350a70d30,2.0,912101,4.0,1.0,4.084748727952379,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,3,768,3,0,3.4000653304687902,0,0,276.2467387100846,275.1969001424955,0.186480242826375,0.13776755760762746,0.0,1.0,0.0007412669947370887,True,True,0.38505570401660344,0.47614964977170304,0.8545651657680159,0.9440104166666666,0.9986979166666666,0.4212735146566177,1.0,0.5433756805742781,0.41773801452649834,0.5264782933574887,1.7686306804091783,0.23136931959082174,0.8843153402045891,,self-report; not geometry-derived layer count or success,0.5412653371931252,0.04784312900273564,0.541508310328633,0.9961475567171371,1.0370034052388135,0.9629965947611865,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b4,3,affine,b3_affine,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912101_b4__b3_affine.npz,66c67d3865e95e726683326574756a6e15d1113fea9dcd993221a6a3891e7aa9,2.0,912101,4.0,1.0,4.085929446101147,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,9,768,9,0,7.091996952211936,0,0,276.2467387100846,273.59828437368344,0.317951479268919,0.11128425987325853,0.19656479104114533,1.0,0.0007702349976170808,True,True,0.36211233705659795,0.45130252682468197,0.869534480875773,0.9505208333333334,0.9986979166666666,0.3931286140418253,1.0,0.5136497352736729,0.39060544924987717,0.49510828787623684,1.76169882234752,0.23830117765247993,0.88084941117376,,self-report; not geometry-derived layer count or success,0.5115564773918784,0.046325165786286114,0.5642213785756381,0.9098978229684452,1.052183911391542,0.9478160886084579,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
