case,base_case,split,sampling,method,sigma_mm,n_points,n_frames,source,ok,method_seconds,family,gap_mm,bias_rms_mm,seed,identifiable,geometry_scored,geometry_note,reported_model_k,model_k_note,input_edit_rms_mm,input_edit_p95_mm,moved_fraction,output,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note,rigid_equivariance_rms_mm,recovery_vs_measured_reference_rms_mm,zero_injection_edit_rms_mm,response_vs_own_baseline_rms_mm,interaction_mm2,decomposition_error_mm2,independent_real_geometry,scene,actual_point_delta_rms_mm
ambig_g8_s912101,ambig_g8_s912101,synthetic,full,identity,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,True,2.789500285871327e-05,ambiguous_two_explanations,8.0,0.0,912101,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,0.0,0.0,0.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lnx049yd/outputs/ambig_g8_s912101__identity.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912101,ambig_g8_s912101,synthetic,full,xyz_mixture,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,True,0.007134389001294039,ambiguous_two_explanations,8.0,0.0,912101,False,False,scalar ambiguity control; not scored as a unique physical world,2,self-report; not geometry-derived layer count or success,1.141199105573633,2.3273512848198874,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lnx049yd/outputs/ambig_g8_s912101__xyz_mixture.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912101,ambig_g8_s912101,synthetic,full,fast,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,True,0.00900747200648766,ambiguous_two_explanations,8.0,0.0,912101,False,False,scalar ambiguity control; not scored as a unique physical world,1,self-report; not geometry-derived layer count or success,4.092313713574647,5.9149523331983165,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lnx049yd/outputs/ambig_g8_s912101__fast.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912101,ambig_g8_s912101,synthetic,full,open3d_icp_then_xyz,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,True,0.02654068000265397,ambiguous_two_explanations,8.0,0.0,912101,False,False,scalar ambiguity control; not scored as a unique physical world,2,self-report; not geometry-derived layer count or success,5.225120163477053,8.256691900985226,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lnx049yd/outputs/ambig_g8_s912101__open3d_icp_then_xyz.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912101,ambig_g8_s912101,synthetic,full,graph_local,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,True,0.020046138990437612,ambiguous_two_explanations,8.0,0.0,912101,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,1.0011417986529532,1.992523843681661,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lnx049yd/outputs/ambig_g8_s912101__graph_local.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912101,ambig_g8_s912101,synthetic,full,graph_shared,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,True,0.07641742000123486,ambiguous_two_explanations,8.0,0.0,912101,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,4.117101214344508,5.726762402152343,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lnx049yd/outputs/ambig_g8_s912101__graph_shared.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912101,ambig_g8_s912101,synthetic,full,measure_balanced,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,True,0.3373525039933156,ambiguous_two_explanations,8.0,0.0,912101,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,3.6057653500353517,3.701807299101508,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lnx049yd/outputs/ambig_g8_s912101__measure_balanced.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912101,ambig_g8_s912101,synthetic,full,measure_unbalanced,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,True,0.3295891910092905,ambiguous_two_explanations,8.0,0.0,912101,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,3.1964597512638036,3.2749814872071203,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lnx049yd/outputs/ambig_g8_s912101__measure_unbalanced.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912101,ambig_g8_s912101,synthetic,full,measure_balanced_local,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,True,0.3723305000021355,ambiguous_two_explanations,8.0,0.0,912101,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,4.102930374326058,5.696172070107395,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lnx049yd/outputs/ambig_g8_s912101__measure_balanced_local.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912101,ambig_g8_s912101,synthetic,full,measure_unbalanced_local,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912101.json,True,0.37204850699345116,ambiguous_two_explanations,8.0,0.0,912101,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,4.025339651512951,5.59582720489899,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lnx049yd/outputs/ambig_g8_s912101__measure_unbalanced_local.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912113,ambig_g8_s912113,synthetic,full,identity,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912113.json,True,3.5725999623537064e-05,ambiguous_two_explanations,8.0,0.0,912113,False,False,scalar ambiguity control; not scored as a unique physical world,,self-report; not geometry-derived layer count or success,0.0,0.0,0.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lnx049yd/outputs/ambig_g8_s912113__identity.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912113,ambig_g8_s912113,synthetic,full,xyz_mixture,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912113.json,True,0.006813375002820976,ambiguous_two_explanations,8.0,0.0,912113,False,False,scalar ambiguity control; not scored as a unique physical world,2,self-report; not geometry-derived layer count or success,1.094132798466598,2.208850882829392,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lnx049yd/outputs/ambig_g8_s912113__xyz_mixture.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambig_g8_s912113,ambig_g8_s912113,synthetic,full,fast,1.0,768,8,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/repair-v2-oyuie4pl/synthetics/ambiguous/ambig_g8_s912113.json,True,0.009389521990669891,ambiguous_two_explanations,8.0,0.0,912113,False,False,scalar ambiguity control; not scored as a unique physical world,1,self-report; not geometry-derived layer count or success,4.158271320823912,5.799918742016498,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v3-lnx049yd/outputs/ambig_g8_s912113__fast.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
