case,base_case,source,method,stage,sampling,family,gap_mm,bias_rms_mm,seed,n_points,n_frames,sigma_mm,ok,method_seconds,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,input_edit_rms_mm,input_edit_p95_mm,moved_fraction,output,output_sha256,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note
ghost_s912601_b0,ghost_s912601_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/synthetics/ghost_s912601_b0.json,identity,confirmation,full,ghost_monolayer,0.0,0.0,912601,768,8,1.0,True,7.437993190251291e-06,True,True,0.7771792721104509,0.9804993800989729,1.9778672038108973,0.70703125,0.9869791666666666,0.7254258278187079,1.0,0.9804993800989729,0.7771792721104509,0.9803830753599089,,self-report; not geometry-derived layer count or success,0.9803830753599089,0.015101652966387264,0.04647021291686775,0.04647021291686775,0.0,0.0,0.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/outputs/ghost_s912601_b0__identity.npz,90c8b1e4f48ce4b4e8989f748acd136c518853cd1900783cadb94054079d8a36,,,,,,
ghost_s912601_b0,ghost_s912601_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/synthetics/ghost_s912601_b0.json,fast,confirmation,full,ghost_monolayer,0.0,0.0,912601,768,8,1.0,True,0.010932046003290452,True,True,0.02396448354253022,0.029175845369248058,0.05743395003512209,1.0,1.0,0.023992548445187372,1.0,0.02918669501819471,0.02396448354253022,0.024963373784268002,1,self-report; not geometry-derived layer count or success,0.02497605340657161,0.015101652966387316,0.04652029964237684,0.04652029964237684,0.9800655272146523,1.944016128896839,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/outputs/ghost_s912601_b0__fast.npz,81a8c080027030537bfc07fe16d5a1404e32334c00a546bac29f29013457c0f2,,,,,,
ghost_s912601_b0,ghost_s912601_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/synthetics/ghost_s912601_b0.json,open3d_icp_then_xyz,confirmation,full,ghost_monolayer,0.0,0.0,912601,768,8,1.0,True,0.025483471996267326,True,True,0.06272618499093631,0.37846952726082833,0.05857190462985352,0.3971354166666667,0.74609375,1.4159356746797471,1.0,3.8656541333604353,0.023947661937497634,0.024954266849944087,1,self-report; not geometry-derived layer count or success,3.865624635016222,0.015101652966387305,0.04652029964237678,0.04652029964237678,3.987835014953448,7.775792832753914,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/outputs/ghost_s912601_b0__open3d_icp_then_xyz.npz,b6fc96cf09ff5fa96d7d3ede87f9dfa6f59a460801ff7612a99f3c25a6a1ed18,,,,,,
ghost_s912601_b0,ghost_s912601_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/synthetics/ghost_s912601_b0.json,graph_shared,confirmation,full,ghost_monolayer,0.0,0.0,912601,768,8,1.0,True,0.10201290000986774,True,True,0.16173273319035292,0.20966749807181953,0.4326078098873882,1.0,1.0,0.1619082433194596,1.0,0.20970914927309722,0.16173273319035292,0.2091229299368661,,self-report; not geometry-derived layer count or success,0.20916468957864073,0.01510165296638215,0.04520240784569939,0.04520240784569939,0.9575363924449524,1.8713597935902708,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/outputs/ghost_s912601_b0__graph_shared.npz,2b351daf2b17c5122f5b021f5541a1d75e18f87f774e4235001021590a4fc825,,,,,,
ghost_s912601_b0,ghost_s912601_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/synthetics/ghost_s912601_b0.json,pool_independent,confirmation,full,ghost_monolayer,0.0,0.0,912601,768,8,1.0,True,0.12382226999034174,True,True,0.16597065431392155,0.2153171844247521,0.44406142253131325,1.0,1.0,0.16613810090887993,1.0,0.215357099080673,0.16597065431392155,0.21478694091188483,,self-report; not geometry-derived layer count or success,0.21482695408659874,0.01510165296638725,0.04558876273668953,0.04558876273668953,0.957553278341218,1.8682411705000344,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/outputs/ghost_s912601_b0__pool_independent.npz,4816a15f00f6183e4648595dc124393740964d1331a455deb4d757755c0449cd,,,,,,
ghost_s912601_b0,ghost_s912601_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/synthetics/ghost_s912601_b0.json,pool_compatible,confirmation,full,ghost_monolayer,0.0,0.0,912601,768,8,1.0,True,0.14769427600549534,True,True,0.0237317246924416,0.028893231802226842,0.05676770480288361,1.0,1.0,0.024336726844675433,1.0,0.029203203404893498,0.0237317246924416,0.02463247696964351,,self-report; not geometry-derived layer count or success,0.024995342902036533,0.015101652966387302,0.04560159866020161,0.04560159866020161,0.9800719946172084,1.9446268550404373,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/outputs/ghost_s912601_b0__pool_compatible.npz,b8a7e1ce9a6cd93fa77b3cf8597b2849f96e5bac0df4a19f77c513c9371f445a,,,,,,
ghost_s912601_b0,ghost_s912601_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/synthetics/ghost_s912601_b0.json,shared_group_slope,confirmation,full,ghost_monolayer,0.0,0.0,912601,768,8,1.0,True,0.14679018800961785,True,True,0.023731724692441652,0.02889323180222691,0.0567677048028838,1.0,1.0,0.02433672684467549,1.0,0.029203203404893557,0.023731724692441652,0.02463247696964358,,self-report; not geometry-derived layer count or success,0.024995342902036602,0.01510165296638732,0.04560159866020171,0.045601598660201706,0.9800719946172084,1.9446268550404373,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/outputs/ghost_s912601_b0__shared_group_slope.npz,ba103b7b9efa596acf5863db4718531a34d549e8204d879cdf3c24ff1e9968b4,,,,,,
ghost_s912601_b0,ghost_s912601_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/synthetics/ghost_s912601_b0.json,node_intercepts,confirmation,full,ghost_monolayer,0.0,0.0,912601,768,8,1.0,True,0.14751656400039792,True,True,0.09380738502881748,0.11023135752966226,0.19013354512534522,1.0,1.0,0.09404170634427338,1.0,0.11031201181559502,0.09380738502881748,0.10919199723658796,,self-report; not geometry-derived layer count or success,0.10927341867300931,0.015101652966387361,0.04559840809195274,0.04559840809195274,0.9740539470179862,1.9369062732756075,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/outputs/ghost_s912601_b0__node_intercepts.npz,33d93aa37062946e4ff8b55be1c71459a408600ed6dccd7a0baf8540967bed52,,,,,,
ghost_s912601_b0,ghost_s912601_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/synthetics/ghost_s912601_b0.json,official_gicp,confirmation,full,ghost_monolayer,0.0,0.0,912601,768,8,1.0,True,0.02683591700042598,True,True,2.1454613330538237,4.909908031745055,12.685577389604289,0.078125,0.4401041666666667,2.47019396796493,1.0,22.103067013254627,0.8592346315056405,1.07593179499125,,self-report; not geometry-derived layer count or success,22.103061854243236,0.015101652966387283,0.6251953005663902,0.6251953005663902,22.081926741934463,39.94938790943056,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/outputs/ghost_s912601_b0__official_gicp.npz,c8f74f66b279e1a94da7fef3cced75a3c19416573421db449bfe1ef89ed4feaf,,,,,,
ghost_s912601_b4,ghost_s912601_b4,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/synthetics/ghost_s912601_b4.json,identity,confirmation,full,ghost_monolayer,0.0,4.0,912601,768,8,1.0,True,1.4937992091290653e-05,True,True,3.450199266792334,4.158519648037767,7.408006057830386,0.2109375,0.47265625,2.173611877948621,1.0,4.158519648037767,3.450199266792334,4.158492227141206,,self-report; not geometry-derived layer count or success,4.158492227141206,0.015101652966387,0.5815648393745567,0.5815648393745567,0.0,0.0,0.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/outputs/ghost_s912601_b4__identity.npz,013aa1b9f17cec7dd49b5775738943106d17f4cbd9b1b8c663846d9e68357c3f,,,,,,
ghost_s912601_b4,ghost_s912601_b4,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/synthetics/ghost_s912601_b4.json,fast,confirmation,full,ghost_monolayer,0.0,4.0,912601,768,8,1.0,True,0.010251667001284659,True,True,0.23949471926184954,0.27647201461722043,0.44999959911668036,1.0,1.0,0.24606074097942998,1.0,0.2798235720642362,0.23949471926184954,0.2760592598414104,1,self-report; not geometry-derived layer count or success,0.2794157682745761,0.015101652966387448,0.5962196201149321,0.5962196201149321,4.149543751410018,7.396501032338883,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v5-confirmation-p0oymcit/outputs/ghost_s912601_b4__fast.npz,abb0aacc8e803c0de05f81b12f36b8b06eb1516da4d8b0cc9a72cc7a0d57014c,,,,,,
