case,method,variant,iterations,output,output_sha256,gap_mm,seed,bias_rms_mm,chosen_k,true_k,model_gap_mm,model_gap_error_mm,spectrum_gap_mm,seconds,supported_fraction,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note
dual_g2_s912101_b0,pooled_em_i12,pooled_em,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-dpamdvgb/outputs/dual_g2_s912101_b0__pooled_em_i12.npz,d628fd911629460fd5a18c04b4ae6da91a6100cb98a1f0c73695cf02f1e6ff1d,2.0,912101,0.0,1,2,0.0,2.0,,0.020714361991849728,1.0,True,True,0.46847056407217896,0.548669633183027,0.9472887006173059,0.98046875,1.0,0.46987511297373397,1.0,0.5503258829627424,0.4692539309202317,0.44044504780266247,1.3267213138640113,0.6732786861359887,0.6633606569320056,,self-report; not geometry-derived layer count or success,0.5486952068596982,0.04233376226979,1.3163017270074036,1.3163017270074036,-1.9984014443252818e-15,2.0000000000000018,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,spectrum_fixed_i12,spectrum_fixed,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-dpamdvgb/outputs/dual_g2_s912101_b0__spectrum_fixed_i12.npz,6162165e287d04bee7b104e0648318265c896ccf238c7ad5e7e9318b43727147,2.0,912101,0.0,2,2,1.8219063545150502,0.17809364548494977,1.8219063545150502,0.01674653599911835,1.0,True,True,0.6131688293164826,0.7595877642320421,1.4894598820817038,0.7278645833333334,1.0,0.6781625332384547,1.0,0.8774583309232695,0.7092793447918119,0.8653362711004166,1.702052890498277,0.297947109501723,0.8510264452491385,,self-report; not geometry-derived layer count or success,0.8774150917193752,0.008710874223073446,0.47156865591439856,0.6470783080414823,1.3559603134628007,0.6440396865371993,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,pooled_em_i36,pooled_em,36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-dpamdvgb/outputs/dual_g2_s912101_b0__pooled_em_i36.npz,d628fd911629460fd5a18c04b4ae6da91a6100cb98a1f0c73695cf02f1e6ff1d,2.0,912101,0.0,1,2,0.0,2.0,,0.05627990000357386,1.0,True,True,0.46847056407217896,0.548669633183027,0.9472887006173059,0.98046875,1.0,0.46987511297373397,1.0,0.5503258829627424,0.4692539309202317,0.44044504780266247,1.3267213138640113,0.6732786861359887,0.6633606569320056,,self-report; not geometry-derived layer count or success,0.5486952068596982,0.04233376226979,1.3163017270074036,1.3163017270074036,-1.9984014443252818e-15,2.0000000000000018,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,spectrum_fixed_i36,spectrum_fixed,36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-dpamdvgb/outputs/dual_g2_s912101_b0__spectrum_fixed_i36.npz,03ddbef933dbbc3d14713feccec13cbe348c081b8c092555719db53015e91a32,2.0,912101,0.0,2,2,1.8219063545150502,0.17809364548494977,1.8219063545150502,0.0426084349892335,1.0,True,True,0.6670875587387711,0.8154130438016769,1.566029297196041,0.6614583333333334,1.0,0.7670900468613727,1.0,0.967486937453158,0.8009509993489518,0.9460196411689208,1.5887166571711089,0.4112833428288911,0.7943583285855544,,self-report; not geometry-derived layer count or success,0.9669771264585801,0.03140399733151543,0.8915024302071591,1.0099642895197258,0.7717165539820476,1.2282834460179524,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b4,pooled_em_i12,pooled_em,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-dpamdvgb/outputs/dual_g2_s912101_b4__pooled_em_i12.npz,2b61dd8c263d22ff6e8f5e70797406e13bd99039279db0390e1f83e52d4ae342,2.0,912101,4.0,1,2,0.0,2.0,,0.020676359999924898,1.0,True,True,0.46848853828290205,0.5486919946597025,0.9466839907193282,0.9778645833333334,1.0,0.4764641927730912,1.0,0.5531187642981202,0.4692764313999836,0.44049570046280895,1.326756077651964,0.673243922348036,0.663378038825982,,self-report; not geometry-derived layer count or success,0.5514963463077197,0.042333762269789986,1.3163017270074064,1.3163017270074078,-8.881784197001252e-16,2.000000000000001,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b4,spectrum_fixed_i12,spectrum_fixed,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-dpamdvgb/outputs/dual_g2_s912101_b4__spectrum_fixed_i12.npz,6cfb827d9886db84061a43c8fcfec29683d98612bbaf1897e60513e9af1bb7e9,2.0,912101,4.0,2,2,1.8219063545150502,0.17809364548494977,1.8219063545150502,0.01701706698804628,1.0,True,True,0.6131891191983739,0.759549321380463,1.4898908420321937,0.7265625,1.0,0.6843088187817411,1.0,0.879165262360645,0.7091617923560793,0.8652127379080943,1.702087365713284,0.297912634286716,0.851043682856642,,self-report; not geometry-derived layer count or success,0.879122107111368,0.008710874223070035,0.4705310518991772,0.6466326679768402,1.357393883407257,0.642606116592743,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b4,pooled_em_i36,pooled_em,36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-dpamdvgb/outputs/dual_g2_s912101_b4__pooled_em_i36.npz,2b61dd8c263d22ff6e8f5e70797406e13bd99039279db0390e1f83e52d4ae342,2.0,912101,4.0,1,2,0.0,2.0,,0.07075157600047532,1.0,True,True,0.46848853828290205,0.5486919946597025,0.9466839907193282,0.9778645833333334,1.0,0.4764641927730912,1.0,0.5531187642981202,0.4692764313999836,0.44049570046280895,1.326756077651964,0.673243922348036,0.663378038825982,,self-report; not geometry-derived layer count or success,0.5514963463077197,0.042333762269789986,1.3163017270074064,1.3163017270074078,-8.881784197001252e-16,2.000000000000001,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b4,spectrum_fixed_i36,spectrum_fixed,36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-dpamdvgb/outputs/dual_g2_s912101_b4__spectrum_fixed_i36.npz,f20a840299ce892c8fbce6e0047226fad8e5c4a682b59ffea310c212ba3202e8,2.0,912101,4.0,2,2,1.8219063545150502,0.17809364548494977,1.8219063545150502,0.042976921002264135,1.0,True,True,0.6672261375429019,0.8154715857416777,1.565092907023145,0.6588541666666666,1.0,0.7727848798384818,1.0,0.9689821389854033,0.8006843955677544,0.9457424241798181,1.5887511296915986,0.4112488703084014,0.7943755648457993,,self-report; not geometry-derived layer count or success,0.9684731150756491,0.03140399733148912,0.8889583806730541,1.0087091865335271,0.7751527861422153,1.2248472138577848,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b0,pooled_em_i12,pooled_em,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-dpamdvgb/outputs/dual_g2_s912113_b0__pooled_em_i12.npz,fe8649f38124942a453f360a8f8e4dc6ca8b0e92ebe4cdc49ea2f68701c2b448,2.0,912113,0.0,1,2,0.0,2.0,,0.02028765199065674,1.0,True,True,0.4339912456086131,0.5223934618260346,0.9278816660523187,0.97265625,1.0,0.43956115780670196,1.0,0.531755758466831,0.4388100583903272,0.4473686791586667,1.4070375556788095,0.5929624443211905,0.7035187778394048,,self-report; not geometry-derived layer count or success,0.5315509091413726,0.014758646740638731,1.367833602650716,1.3678336026507167,6.661338147750939e-16,1.9999999999999993,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b0,spectrum_fixed_i12,spectrum_fixed,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spectral-filter-v10-dpamdvgb/outputs/dual_g2_s912113_b0__spectrum_fixed_i12.npz,acfa6927ce5a6916c71701b8d5c98db609468b839fd26e64d321b44f7a1eb423,2.0,912113,0.0,2,2,1.8612040133779264,0.1387959866220736,1.8612040133779264,0.016493472998263314,1.0,True,True,0.6751207413606034,0.8077225257263239,1.4743828552745946,0.7005208333333334,1.0,0.7402371868896142,1.0,0.9152772013962441,0.7673338388027601,0.9054880527076764,1.7402547828454593,0.2597452171545407,0.8701273914227297,,self-report; not geometry-derived layer count or success,0.9142193403706608,0.04399264811277773,0.6643572757436004,0.6666220303484491,1.0785939910891256,0.9214060089108744,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
