case,budget,mode,method,gap_mm,seed,bias_rms_mm,output,output_sha256,stage,supported_fraction,postprocess_seconds,mean_abs_subtracted_noise_mm,max_abs_subtracted_noise_mm,group_count,fit_rank,low_probability_fallbacks,input_edit_rms_mm,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note
dual_g2_s912101_b0,1,none,b1_none,2.0,912101,0.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-compensation-v8-ey291bta/outputs/dual_g2_s912101_b0__b1_none.npz,ada3ea5688cef82405fa9dbb3b7ceac5a7df2c1bcf7914650f1e848230d2d9f0,"exposed development, cached conditional action",1.0,0.0005616309936158359,0.0,0.0,3,9,0,0.7186315549208219,True,True,0.5113452196141121,0.6249969933365876,1.221052934676291,0.8736979166666666,0.9791666666666666,0.5717639005994003,1.0,0.7645824688490164,0.5961886641560696,0.761376668985081,1.8885852487323933,0.1114147512676067,0.9442926243661967,,self-report; not geometry-derived layer count or success,0.7633595834988499,0.04322612580048501,0.2101826665503486,0.3745529472511331,1.6335983044886335,0.3664016955113665,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,1,conditional,b1_conditional,2.0,912101,0.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-compensation-v8-ey291bta/outputs/dual_g2_s912101_b0__b1_conditional.npz,c82e9d12dfa990d6a9696beb4d65e2f1e9f3290b09820cfb1a29593b08aeee29,"exposed development, cached conditional action",1.0,0.0008206630009226501,0.6751802101727584,0.8513721766889716,3,9,0,0.9211743984171041,True,True,0.2718007235943867,0.39888597939132286,0.8923142393819067,0.9622395833333334,1.0,0.28150219699860707,1.0,0.43487706908966256,0.2867240329279013,0.39939371748266034,1.6520230585580373,0.3479769414419627,0.8260115292790187,,self-report; not geometry-derived layer count or success,0.43383303901145476,0.030115767997856497,0.89640175003634,1.1322254257657562,0.6527803051707106,1.3472196948292894,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,1,random,b1_random,2.0,912101,0.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-compensation-v8-ey291bta/outputs/dual_g2_s912101_b0__b1_random.npz,3f51aea472475702e8e405b28487021ee4950b258d0e40dab025d5573952e4e8,"exposed development, cached conditional action",1.0,0.0004502810043049976,0.817718909713947,2.789249822468388,3,9,0,0.7391846720329909,True,True,0.6119505303585068,0.7285942782024598,1.366612096299283,0.7916666666666666,0.9778645833333334,0.6680487186038025,1.0,0.8714556755952068,0.6970281525252978,0.8706786224749514,2.0607111701157317,0.06071117011573168,1.0303555850578658,,self-report; not geometry-derived layer count or success,0.8712365038261748,0.019543513702556352,0.3339344665916431,0.4098201680515493,1.815605980626575,0.18439401937342503,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,3,none,b3_none,2.0,912101,0.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-compensation-v8-ey291bta/outputs/dual_g2_s912101_b0__b3_none.npz,e27934d1801c045e1d05f906890aba0397022177e9f63a808332dded2ae804b2,"exposed development, cached conditional action",1.0,0.0003794939984800294,0.0,0.0,3,9,0,0.6491960601903609,True,True,0.6142655840476534,0.7114166943178826,1.1988435966058104,0.79296875,0.9973958333333334,0.6676203441177835,1.0,0.8060686267651035,0.6847799990244426,0.803964099294992,1.9219029450886247,0.07809705491137531,0.9609514725443123,,self-report; not geometry-derived layer count or success,0.804907268389596,0.043254136779949034,0.12532510761506863,0.24971520636200736,1.7627889997062458,0.2372110002937542,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,3,conditional,b3_conditional,2.0,912101,0.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-compensation-v8-ey291bta/outputs/dual_g2_s912101_b0__b3_conditional.npz,dcfabe752575fc03379e9adb3d3ac520ef320ac98566673ab0dcad07c0fdebdf,"exposed development, cached conditional action",1.0,0.000746352001442574,0.6904875883836793,0.8974912637367899,3,9,0,0.9191385590088635,True,True,0.28949293706351226,0.41057968038116816,0.8519125242820511,0.9817708333333334,0.9986979166666666,0.29223855699982937,1.0,0.42565657575161786,0.2957165056899582,0.3841105146719825,1.6268261352723095,0.37317386472769054,0.8134130676361547,,self-report; not geometry-derived layer count or success,0.42487393331799483,0.02580041215734456,0.8889370325322005,1.2926426046045336,0.5635553686825279,1.4364446313174721,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,3,random,b3_random,2.0,912101,0.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-compensation-v8-ey291bta/outputs/dual_g2_s912101_b0__b3_random.npz,7a61368b6c44e07346a65ae0fb1ce234ec0a455ad4f923f177c33a8b02ab7148,"exposed development, cached conditional action",1.0,0.0004473080043680966,0.817718909713947,2.789249822468388,3,9,0,0.6714002940771835,True,True,0.6839124824873465,0.7918041498036664,1.3411364204146177,0.7161458333333334,0.99609375,0.746425695154349,1.0,0.8972785087291781,0.7675200141193939,0.896307548080109,2.0735866025519956,0.07358660255199556,1.0367933012759978,,self-report; not geometry-derived layer count or success,0.8970664896626102,0.01950475202764368,0.2800120935328864,0.32792268105130024,1.8770119214400378,0.12298807855996219,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,6,none,b6_none,2.0,912101,0.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-compensation-v8-ey291bta/outputs/dual_g2_s912101_b0__b6_none.npz,18c84d2d1fe1f4679e8af0cac4e6f78e41a54ae044c1b9b9046c4322267ba037,"exposed development, cached conditional action",1.0,0.0003618199989432469,0.0,0.0,3,9,0,0.6625942743069706,True,True,0.6088982173906016,0.7007116759243951,1.1377409609614224,0.80078125,0.9973958333333334,0.6651823333750101,1.0,0.7961932193028477,0.679439084029184,0.79405237737981,1.9215807273828591,0.07841927261714088,0.9607903636914296,,self-report; not geometry-derived layer count or success,0.7950168825643888,0.043264291297018774,0.08580052980111734,0.18168232964165204,1.7983482981439252,0.20165170185607484,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,6,conditional,b6_conditional,2.0,912101,0.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-compensation-v8-ey291bta/outputs/dual_g2_s912101_b0__b6_conditional.npz,47c70494cccb5bfdd59f279f33a77eac7ceaac0a7dc86e1e8e0eb8b80f7b602d,"exposed development, cached conditional action",1.0,0.0007256060052895918,0.7018823424981311,0.8968569581590825,3,9,0,0.9212577597866879,True,True,0.2958769141973319,0.40936117728889937,0.8565640151752472,0.9765625,0.9986979166666666,0.2978164078595831,1.0,0.421525273010887,0.3008496797476102,0.3787942428995578,1.6234593652435727,0.3765406347564273,0.8117296826217864,,self-report; not geometry-derived layer count or success,0.4207821229336498,0.025019208747551792,0.8749112579762713,1.3354964503877071,0.5503471381918166,1.4496528618081834,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,6,random,b6_random,2.0,912101,0.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-compensation-v8-ey291bta/outputs/dual_g2_s912101_b0__b6_random.npz,15ba2f1ce36605c4504985b0807bd6565baa02daa2cd2d49985b3189c3aa0fbf,"exposed development, cached conditional action",1.0,0.00046944500354584306,0.817718909713947,2.789249822468388,3,9,0,0.6835567216361352,True,True,0.6678112651646498,0.7719284083376862,1.2881521159736486,0.72265625,0.9973958333333334,0.7313738566322651,1.0,0.8745296339146191,0.7484232254614188,0.8736709685183273,2.066208308841307,0.0662083088413068,1.0331041544206534,,self-report; not geometry-derived layer count or success,0.8743123585660966,0.019493082194130807,0.2320612175270349,0.2820082607346497,1.8790254680153242,0.12097453198467578,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b4,1,none,b1_none,2.0,912101,4.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-compensation-v8-ey291bta/outputs/dual_g2_s912101_b4__b1_none.npz,c91efdbf8f177908b4046d747a9b1c85b2a20cc1d1f4092ecd9eb01ed942fa6a,"exposed development, cached conditional action",1.0,0.0003546290099620819,0.0,0.0,3,9,0,4.080686371261189,True,True,0.5114461087574891,0.625136317485978,1.2200146283655744,0.8697916666666666,0.9791666666666666,0.576651813238133,1.0,0.7666196525055782,0.596205006671391,0.7614124169529733,1.888668269416524,0.11133173058347601,0.944334134708262,,self-report; not geometry-derived layer count or success,0.7654001580721678,0.04322371606970015,0.21007424535876276,0.37384972403952665,1.6341310046919344,0.3658689953080656,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
